name,uen,address,tel,fax,contractor_type,trade_type,workhead,workhead_title,grade,detail_url
RAYSHENG CONSTRUCTION & ENGINEERING PTE. LTD.,201910041R,7030 ANG MO KIO AVENUE 5 #08-99 NORTHSTAR @ AMK SINGAPORE 569880,81689552,60380404,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201910041R
189 BUILDER PTE LTD,200404882W,293 RIVER VALLEY ROAD SINGAPORE 238334,67351189,64915818,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200404882W
21 CONSTRUCTION ENGINEERING PTE. LTD.,200301450G,25 BUKIT BATOK CRESCENT #08-04 THE ELITIST SINGAPORE 658066,62550887,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200301450G
2K BUILDER PTE LTD,198400907Z,50 BUKIT BATOK STREET 23 #07-06 MIDVIEW BUILDING SINGAPORE 659578,62542922,62562022,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=198400907Z
2K ENGINEERING WORKS PTE. LTD.,202131272D,50 BUKIT BATOK STREET 23 #07-06 MIDVIEW BUILDING SINGAPORE 659578,62542922,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202131272D
2L INTERIOR DESIGN & CONSTRUCTION PTE. LTD.,201115201G,37 LORONG 23 GEYLANG #03-01A YU LI INDUSTRIAL BUILDING SINGAPORE 388371,64497492,64497493,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201115201G
3 STAR ENGINEERING PTE. LTD.,201015957N,48 TOH GUAN ROAD EAST #03-142 ENTERPRISE HUB SINGAPORE 608586,65155220,65155320,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201015957N
3 TOUGH MANAGEMENT PTE LTD,202141974E,1 CORPORATION DRIVE #09-09 SINGAPORE 619775,82233121,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202141974E
3G CONSTRUCTION PTE. LTD.,201315660W,167 BUKIT BATOK WEST AVENUE 8 #06-236 SINGAPORE 650167,68489200,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201315660W
3L E&C PTE LTD,201732567C,32 ANG MO KIO INDUSTRIAL PARK 2 #06-06 SING INDUSTRIAL COMPLEX SINGAPORE 569510,88763339,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201732567C
3-LINK ENGINEERING PTE. LTD.,200415109E,56 KALLANG PUDDING ROAD #07-02 HH @ KALLANG SINGAPORE 349328,63565477,63569108,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200415109E
4HK PROJECTS PTE. LTD.,201005572H,33 KAKI BUKIT ROAD 6 #04-00 SINGAPORE 415808,91760429,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201005572H
5 LANDMARK CONSTRUCTION PTE. LTD.,201119352C,3013 BEDOK INDUSTRIAL PARK E #04-2124 SINGAPORE 489979,69027112,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201119352C
83SERVICES PTE. LTD.,201906718R,60 PAYA LEBAR ROAD #06-28 PAYA LEBAR SQUARE SINGAPORE 409051,80284800,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201906718R
8PTITUDE PRIVATE LIMITED,201800968G,20 BUKIT BATOK CRESCENT #07-26 ENTERPRISE CENTRE SINGAPORE 658080,65147805,65147805,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201800968G
A & A CONSTRUCTION & ENGINEERING PTE. LTD.,200713458Z,2030 BUKIT BATOK STREET 23 #01-292 SINGAPORE 659535,62679768,62679769,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200713458Z
A & F CONCEPTS PTE LTD,200008861M,20 WOODLANDS LINK #04-05 SINGAPORE 738733,63683133,63681992,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200008861M
A DELI CONSTRUCTION PTE. LTD.,201503727N,111 GEYLANG ROAD #02-01 SINGAPORE 389216,67431869,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201503727N
A M G CONSTRUCTION,52908338L,70 GERALD DRIVE SINGAPORE 548502,91068337,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=52908338L
A&A INTEGRATED SOLUTIONS PTE LTD,202114615K,35 MARILING DRIVE 22-399 SINGAPORE 730035,97489517,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202114615K
A.MAX PTE. LTD.,200402187W,20 KAKI BUKIT INDUSTRIAL TERRACE SINGAPORE 416100,64499972,64451411,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200402187W
AACON PTE. LTD.,201009507Z,334B YISHUN STREET 31 #15-105 YISHUN RIVERWALK SINGAPORE 762334,90842828,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201009507Z
AAE-CFM PTE LTD,202027585H,7030 ANG MO KIO AVE 5 #05-08 NORTHSTAR@AMK SINGAPORE 569880,65708801,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202027585H
AALLIANZ PTE. LTD.,200702271E,7 GAMBAS CRESCENT #06-12 ARK@GAMBAS SINGAPORE 757087,63144031,63144032,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200702271E
AB ASSOCIATES PTE. LTD.,201331123W,31 WOODLANDS CLOSE #03-05 WOODLANDS HORIZON SINGAPORE 737855,69092427,69092428,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201331123W
ABM CONSTRUCTION PTE. LTD.,200720423R,691 GEYLANG ROAD #02-01 SINGAPORE 389684,68732078,67414089,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200720423R
ABSPRUNG ENGINEERING SYSTEMS PTE. LTD.,201626436C,10 ADMIRALTY STREET #06-86 NORTH LINK BUILDING SINGAPORE 757695,69091955,69091957,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201626436C
ABV SYSTEMS PTE LTD,199003336Z,29 CHANGI SOUTH AVENUE 2 #02-00 ABV INDUSTRIAL BUILDING SINGAPORE 486444,65456288,65456289,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199003336Z
ACA ENGRG PTE. LTD.,199607863E,27 MANDAI ESTATE #07-07 INNOVATION PLACE SINGAPORE 729931,64661348,64660175,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199607863E
ACE BUILDER PTE. LTD.,201700287R,1A RUBY LANE SINGAPORE 328276,67422553,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201700287R
ACE INTEGRATED PTE LTD,201820608D,421 TAGORE INDUSTRIAL AVE #01-04 TAGORE 8 SINGAPORE 787805,62507367,62504350,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201820608D
ACEPROJECT CONSTRUCTION PTE. LTD.,200708332W,143 UBI AVENUE 4 HENSON WAREHOUSE SINGAPORE 408775,62824161,64872955,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200708332W
ACL CONSTRUCTION (S) PTE LTD,200105356R,3 TUAS DRIVE 1 SINGAPORE 638670,68970322,68972885,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200105356R
ACOLITE CONSTRUCTION (S) PTE LTD,198401013N,37 LORONG 23 GEYLANG #05-03 YU LI INDUSTRIAL BUILDING SINGAPORE 388371,67472322,67472718,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=198401013N
ACRE WORKS (SINGAPORE) PTE. LTD.,201921907R,21 BUKIT BATOK CRESCENT #18-75 WCEGA TOWER SINGAPORE 658065,69796822,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201921907R
ACROMEC ENGINEERS PTE LTD,198103784W,11 WOODLANDS TERRACE SINGAPORE 738436,67431300,67431159,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=198103784W
ACTUS BUILDERS PTE LTD,199101840K,33 UBI AVENUE 3 #05-27 VERTEX SINGAPORE 408868,62811221,62810606,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199101840K
ADA BUILDERS PTE. LTD.,200704764K,273 KAKI BUKIT AVENUE 1 SHUN LI INDUSTRIAL PARK SINGAPORE 416071,68420855,63443292,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200704764K
ADDCEL ENGINEERING PTE. LTD.,201006687G,1 KWONG MIN ROAD SINGAPORE 628704,65620138,65621083,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201006687G
ADECOTECH PTE LTD,201920630W,10 ARUMUGAM ROAD #06-03 LTC BUILDING A SINGAPORE 409957,97820438,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201920630W
ADEPT BUILDER PTE. LTD.,202511817G,80 JURONG EAST STREET 21 #04-02 DEVAN NAIR INSTITUTE SINGAPORE 609607,87781088,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202511817G
AD-EVO PTE LTD,201728967Z,3014 UBI ROAD 1 #03-304 SINGAPORE 408702,90610477,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201728967Z
ADROITEAM PTE. LTD.,201836486K,2 GAMBAS CRESCENT #01-11 NORDCOM TWO SINGAPORE 757044,69505019,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201836486K
ADT BUILDER PTE. LTD.,201023042C,32 DEFU LANE 10 #02-26 DEFU INDUSTRIAL ESTATE SINGAPORE 539213,65131863,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201023042C
ADVANCE FACILITIES PTE. LTD.,200100464Z,81 TAGORE LANE #01-21 TAG A SINGAPORE 787502,64816615,64811763,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200100464Z
ADVANCE SPORTS TECHNOLOGIES PTE. LTD.,200912111Z,53 UBI AVENUE 1 #05-16 PAYA UBI INDUSTRIAL PARK SINGAPORE 408934,65531540,67474471,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200912111Z
ADVANCED CONSTRUCTION & ENGINEERING PTE LTD,199204542C,22 LORONG 21A GEYLANG #10-01 PROSPER INDUSTRIAL BUILDING SINGAPORE 388431,67438166,67439676,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199204542C
ADVENTURE SYSTEMS PTE. LTD.,199102242C,80 GENTING LANE #09-03 RUBY INDUSTRIAL COMPLEX SINGAPORE 349565,65430282,65430382,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199102242C
AEGIS BUILDING & ENGINEERING PTE LTD,199604954H,135 UBI AVENUE 4 HENSON WAREHOUSE SINGAPORE 408771,65321121,66922971,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199604954H
AEROSTAR CORPORATION PTE LTD,199403293D,28 SIN MING LANE #07-136 MIDVIEW CITY SINGAPORE 573972,63965671,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199403293D
AES CONSTRUCTION PTE LTD,202325448N,18 SIMON LANE SINGAPORE 546042,92492979,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202325448N
AGC ASIA PACIFIC PTE LTD,201314620K,460 ALEXANDRA ROAD #32-01 MTOWER SINGAPORE 119963,62735656,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201314620K
AGGRADE CONSTRUCTION (S) PTE LTD,199900836R,51 JALAN PEMIMPIN #03-05 MAYFAIR INDUSTRIAL BUILDING SINGAPORE 577206,82188118,62536142,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199900836R
AGSH BUILDERS PTE. LTD.,202332167N,621 ALJUNIED RD #03-10 LIPO BUILDING SINGAPORE 389834,87721733,60413797,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202332167N
AHEAD ENGINEERING SERVICES PTE. LTD.,201634201E,3013 BEDOK INDUSTRIAL PARK E #02-2080 BEDOK INDUSTRIAL PARK E SINGAPORE 489979,90993726,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201634201E
AIK CHUAN CONSTRUCTION PTE. LTD.,198202522W,17 LENG KEE ROAD AIK CHUAN BUILDING SINGAPORE 159092,68906300,68906305,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=198202522W
AIK LEONG PLUMBING CONSTRUCTION PTE LTD,199601215W,4 PENJURU CLOSE SINGAPORE 608574,63148301,63148302,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199601215W
AIK SAN CONSTRUCTION PTE LTD,199405845C,16 WOODLANDS INDUSTRIAL PARK E1 SINGAPORE 757737,63631616,63621616,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199405845C
AIK SING CONSTRUCTION & ENGINEERING PTE. LTD.,201540075W,3 ANG MO KIO INDUSTRIAL PARK 2A #02-11 AMK TECH I SINGAPORE 568050,64819279,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201540075W
AIK TAI LEE BUILDERS PTE LTD,199903787E,59 UBI AVENUE 1 #04-06 BIZLINK CENTRE SINGAPORE 408938,67462331,67452230,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199903787E
AJ SIXTY ONE PTE. LTD.,201113374K,7030 ANG MO KIO AVENUE 5 #01-07 NORTHSTAR @ AMK SINGAPORE 569880,66591683,63968936,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201113374K
AJA ENTERPRISES PTE LTD,199900581C,48 TOH GUAN ROAD EAST #07-151 ENTERPRISE HUB SINGAPORE 608586,62732322,62734355,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=199900581C
AJW CONSTRUCTION PTE. LTD.,201213362Z,2 BALESTIER ROAD #04-645 BALESTIER HILL SHOPPING CENTRE SINGAPORE 320002,64561946,64555314,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201213362Z
AKK TH3X (S) PTE. LTD.,201508045W,50 GAMBAS CRESCENT #03-08 PROXIMA@GAMBAS SINGAPORE 757022,67950267,62543977,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201508045W
AKT CONSTRUCTION & DESIGN PTE. LTD.,201812707C,280 WOODLANDS INDUSTRIAL PARK E5 #04-09 HARVEST@WOODLANDS SINGAPORE 757322,91497077,60470329,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201812707C
ALAN KOH TRADING CO. PTE. LTD.,198303683Z,22 YIO CHU KANG ROAD #02-21 HIGHLAND CENTRE SINGAPORE 545535,62889068,62852876,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=198303683Z
ALCHEMY CONSTRUCTION PTE LTD,200006043Z,21 BUKIT BATOK CRESCENT #10-73 WCEGA TOWER SINGAPORE 658065,69045573,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200006043Z
ALFA TECH VESTASIA PTE LTD,201004553W,123 PENANG ROAD #04-12 REGENCY HOUSE SINGAPORE 238465,64619300,64619303,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201004553W
ALINK ENGINEERING PTE. LTD.,201804161Z,1003 BUKIT MERAH CENTRAL #06-46 INNO CENTRE SINGAPORE 159836,90292393,NA,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201804161Z
ALLEVIATIVE ENGINEERING PTE. LTD.,202303220D,11 YISHUN INDUSTRIAL STREET 1 #04-110 NORTH SPRING BIZHUB SINGAPORE 768089,89592803,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202303220D
ALLIANCE BUILDER PTE. LTD.,201604238E,81 UBI AVENUE 4 #11-01 UB ONE SINGAPORE 408830,67431323,67432283,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201604238E
ALLIANCZ INTERNATIONAL PTE. LTD.,200616212Z,40 UBI CRESCENT #01-02 UBI TECHPARK SINGAPORE 408567,67433313,67486648,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200616212Z
ALPHA ENGINEERING & CONSULTANCY PTE. LTD.,202008951E,41 JALAN PEMIMPIN #05-03A KONG BENG BOOK COMPANY PTE LTD SINGAPORE 577186,93446042,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202008951E
ALPHA INNOVATIVE DESIGN & TRADING PTE LTD,201838003K,21A PENSHURST PLACE SERANGOON GARDEN ESTATE SINGAPORE 556466,92718928,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201838003K
ALPHINE BUILDERS PTE LTD,200515686K,7 TOA PAYOH INDUSTRIAL PARK #01-1259 TOA PAYOH INDUSTRIAL PARK SINGAPORE 319059,67522212,63528757,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200515686K
ALSTERN TECHNOLOGIES SINGAPORE PTE. LTD.,200406842Z,3029A UBI ROAD 3 #01-96 SINGAPORE 408661,67471527,67476547,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200406842Z
ALSYS PTE. LTD.,200313337N,86 MARINE PARADE CENTRAL #03-210 MARINE PARADE PROMENADE SINGAPORE 440086,64406636,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200313337N
ALTITUDE CONSTRUCTION & TRADING CO PTE LTD,198802817E,5039 ANG MO KIO INDUSTRIAL PARK 2 #01-471 SINGAPORE 569542,63878013,64878280,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=198802817E
ALTO CONSTRUCTION AND ENGINEERING SERVICES PTE. LTD.,200810444W,165 BUKIT MERAH CENTRAL #05-3685 SINGAPORE 150165,62823240,62823340,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200810444W
ALTUS STEEL TECH (S) PTE. LTD.,200408574H,9 DAIRY FARM HEIGHTS #06-22 THE SKYWOODS SINGAPORE 677670,92398815,62621931,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200408574H
ALUMNI CONSTRUCTION & TRADING PTE. LTD.,198802451M,20 ANG MO KIO INDUSTRIAL PARK 2A #02-06 AMK TECHLINK SINGAPORE 567761,64825798,64829556,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=198802451M
AMCE GROUP PTE. LTD.,200708203R,21 TOH GUAN ROAD EAST #05-23 TOH GUAN CENTRE SINGAPORE 608609,65156686,65156696,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200708203R
AMEC FOSTER WHEELER ASIA PACIFIC PTE. LTD.,200506238H,438B ALEXANDRA ROAD #08-07 ALEXANDRA TECHNOPARK SINGAPORE 119968,69640430,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200506238H
AMET CONSTRUCTION PTE. LTD.,202445174E,11 TUAS SOUTH LINK 3 SINGAPORE 638813,62655926,62655976,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=202445174E
AML DEVELOPMENT PTE. LTD.,200504576H,60 KAKI BUKIT PLACE #05-13 EUNOS TECHPARK SINGAPORE 415979,65470178,65470246,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200504576H
AMXON CONSTRUCTORS PTE. LTD.,201103476H,3018 BEDOK NORTH STREET 5 #06-01 EASTLINK SINGAPORE 486132,64422822,64422400,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201103476H
AMXON STEEL PTE. LTD.,200300338W,3018 BEDOK NORTH STREET 5 #06-01 EASTLINK SINGAPORE 486132,64422822,64422400,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=200300338W
AN FU PRIVATE LIMITED,201219150N,2 KALLANG AVENUE #06-19 CT HUB SINGAPORE 339407,63345661,63383714,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201219150N
AN TAI BUILDING & CONSTRUCTION PTE. LTD.,201102523K,7 MANDAI LINK #09-02 MANDAI CONNECTION SINGAPORE 728653,96884230,62503902,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201102523K
ANCHANG PTE. LTD.,201828428K,109 UBI AVENUE 4 #01-01 CIVIC TERRACE WAREHOUSE SINGAPORE 408760,90015368,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=201828428K
ANCHORAGE CONSTRUCTION CO PTE LTD,198201230H,21 KALLANG AVENUE #04-175 SINGAPORE 339412,62977189,62977201,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=198201230H
ANCON ANDA PTE. LTD.,198306109Z,2 DEFU SOUTH STREET 1 #07-05 JTC DEFU INDUSTRIAL CITY SINGAPORE 533755,63821911,,registered-contractors,construction,CW01,General Building,All,https://www.bca.gov.sg/eBACS/BCA_DIRECTORY/Company/CompanyDetails?uenNo=198306109Z
