name,category,description,website,whatsapp,page_url,active_deal_count,deal_titles
J+U Envirolution,Cleaning Services,an eco-friendly cleaning company,https://juconsultancy.sg/contact-us/,+6597591176,https://btogroupbuy.sg/brand/j+u-envirolution-71feb86f-45f6-4de4-8ce5-5cf250283ad3,2,Post Renovation Cleaning | Vinyl Luxe Care
Saniton Ceramic Pte Ltd,Bathroom,Ceramic manufacturer in Singapore,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.saniton.com%2F&psig=AOvVaw3UlP5bR-_Iy-JALVwFjXjF&ust=1753264611697000&source=images&cd=vfe&opi=89978449&ved=0CAMQjB1qFwoTCPi0kdfB0I4DFQAAAAAdAAAAABAE,+6581695878,https://btogroupbuy.sg/brand/saniton-ceramic-pte-ltd-94df3475-7fd6-4c93-ad40-bd725fbd4801,1,15% Discount Saniton Toilets and Washbasins
AmGlow Water Systems,Water,Water filter supplier in Singapore,https://amglow.com/?srsltid=AfmBOorxjXK93BcwvAhxmP3kFXj0sLw09ZtXMx_ZDxo-sS4I117lYj-r,+6587902885,https://btogroupbuy.sg/brand/amglow-water-systems-156d85a0-f9dd-4e4d-8163-de8affafecf9,1,10% Off AmGlow Contour 7
Aqara SG,Window & Curtain,Unparalleled Smart Home Ecosystem,https://www.ttg.sg/,+6569900088,https://btogroupbuy.sg/brand/aqara-sg-403f5527-a012-4b5d-ac27-f41098e24983,3,"10% off Aqara Smart Lighting (Magnetic track light, T2 Downlights) | 10% Off Aqara Motorised Curtains and Roller Blinds | Aqara D1 / H1 / Z1 Smart Home Packages (Switches and Sensors)"
Framier,Bedroom,Customised bed sets,https://framier.sg/?srsltid=AfmBOoqpxp-QLN-zIjUgp4pr4KfHWCAg8d0jLzMQnLLvWT6y-e2x7bmV,+6582628212,https://btogroupbuy.sg/brand/framier-7006fd53-aea3-42e3-8297-dce170cb1c72,1,5% discount on Customized Bedframe
Passion Home, Lighting and Fans ,Experience keyless convenience and enhanced security with smart door locks.,https://passionhome.sg/,+6587875405,https://btogroupbuy.sg/brand/passion-home-b832b5de-e62d-4c57-93ab-dd8e77bd5c96,4,10% off Bestar Ceiling Fans | 10% Off Point One Smart Fans | Up to 30% OFF KDK Ceiling Fans | 10% Shopping Voucher Rebate
Sleep Space,Bedroom,Has assembly service,https://www.sleepspace.com.sg/pages/store-locator,+6566777645,https://btogroupbuy.sg/brand/sleep-space-d1548577-09a7-4370-bfd7-7eab791671cd,5,10% on Bed Frames  | 14% OFF Family Mattress & Bed Bundle Deals | 10% OFF Sinfonia - Kids Dual Firmness Mattress | 10% on Mattresses | 10% on Mattress + Bed Frame Bundles
126 Cleaning,Cleaning Services,"Professional post-renovation cleaning services using child and pet safe cleaning solutions and eco-friendly solutions. Transform your newly renovated home into a pristine, move-in ready space with our comprehensive cleaning solutions.",https://126cleaning.sg/,87563076,https://btogroupbuy.sg/brand/126-cleaning-05f73117-16a3-462a-90ae-6bbdd5e2b840,1,BTO Free 1x Move In Cleaning
338 Aircon,Aircon Installation,"338 Aircon provides cheap aircon servicing, installation services for homeowners.",https://www.338aircon.sg,+6598894141,https://btogroupbuy.sg/brand/338-aircon-29c6fa24-d9f4-4536-bad0-f609480d0f97,2,Aircon Installation - Daikin | Aircon Installation - Mitsubishi Starmex
A&J Painting,Painting,High Quality and Affordable Painting Services In Singapore,https://ajpainting.com.sg/about/,+6593821820,https://btogroupbuy.sg/brand/aj-painting-0a7190bd-bf2a-4c24-9711-a052b3d96510,1,Painting Deals from $380 only !
A1 Inspection,Defect Checking, Ensure homeowners a fit and proper inspections. ,https://a1inspection.sg/,+6593666622,https://btogroupbuy.sg/brand/a1-inspection-b73ac1ae-e22e-4238-81df-9190f848e61e,2,Condo- Defect check 3 Trips | BTO- Defect check 3 Trips
Absolute Inspection,Defect Checking,"New Home Defects Inspection - from $200

$200 $250 (20% off)


- Not sure how to inspect your brand new house or reno works for defects?
- Can’t get your contractor to repair the problems you discovered?
- Can't tell if your contractor has rectified the defects properly before handover?

Fret not. We can help you!

Absolute Inspection is an independent defects specialist for new / resale / renovated properties. We provide Professional Inspections & Sound Technical Advice on your property's problems. Our experienced inspectors will guide you and get your contractors to accept & rectify the reported issues to industry standards.

Our inspections comply with BCA CONQUAS, Singapore's prevailing standards for construction quality. Being Certified by the Royal Institution of Chartered Surveyors (RICS), we are qualified to represent you in CASE, Mediation, Small Claims Tribunal & State Court.

In a country where there are many bogus & un-certified inspectors offering home defects inspections, we are your BEST ASSURANCE that your house will be in good hands!

- Pioneer in Home Defects Inspections in Singapore
- Only RICS-Certified defects company in Singapore
- Only defects company in Singapore with Professionally Trained & Calibrated inspectors
- Only defects company with Free Lifetime off-site Technical Support
-  30,000+ home inspections in Singapore & Malaysia
- 1,000+ positive testimonials in Google, FB & portals
- Inspections based on BCA CONQUAS 
- Comprehensive 3-Time Site Inspections
- Exclusive Group Buy Rates
- Hassle free & Absolute peace of mind


Being home owners ourselves, we feel your disappointment when you find quality issues in your new home. We also know your frustrations in dealing with contractors. Let us help you to solve your problems.

Hurry and book your appointment for a professional defect inspection with us! Call / WhatsApp us @ 91512312 or visit us @ www.absoluteinspection.sg",https://absoluteinspection.sg/,+6591512312,https://btogroupbuy.sg/brand/absolute-inspection-2e0c1d2f-57fd-4a8f-8410-ed8227d0cf40,2,New Home Defect Check from $200 | FREE Consultation on New Home Defect
