name,category,in_bishan,live,dtc,email,whatsapp,website,facebook,instagram,wa_group,wa_group_admin,slug,page_url,description
Bedtribe,Home and Living,yes,True,True,teambedtribe@gmail.com,80685970,https://www.bedtribe.com/,https://www.facebook.com/bedtribe/,https://www.instagram.com/bedtribe/,,5970,bedtribe,https://findgroupbuy.com/brand/bedtribe,An innovative series that gives a good night’s sleep. Get your comfort and well-deserved rest the way you should.
AmGlow Water Systems,Water Dispenser,yes,True,False,sharon@amglow.com,87902885,www.amglow.com,AmGlow Singapore,@AmglowSingapore,,5970,amglow,https://findgroupbuy.com/brand/amglow,💧 A New Way to Drink!✨
GoodLiving Singapore,Smart Home,yes,True,False,hello@findgroupbuy.com,88784758,https://www.goodliving.sg/,https://www.facebook.com/www.goodliving.sg,https://www.instagram.com/goodlivingsingapore/,,5970,goodliving,https://findgroupbuy.com/brand/goodliving,"Founded in 2017 by a team of passionate engineering enthusiasts, GoodLiving has quickly established itself as a leading name in the home technology space. With a strong commitment to innovation and quality, we’ve earned the trust of over 10,000 Singaporean households who rely on our cutting-edge automated laundry systems. Driven by our own R&D, we continuously push the boundaries to bring the latest advancements and our unique innovations to the Singapore home appliance market.  Why Choose GoodLiving? Free Delivery & Installation on Concrete or False Ceiling. Local Warranty and Trusted by Thousands that has earned us a perfect 5/5 rating from over 1,160 satisfied customers on Google Reviews."
Curtain Galleria Singapore,Home and Living,,False,False,gladys@thecurtaingalleria.com,97358682,,,,,5970,curtain-galleria,https://findgroupbuy.com/brand/curtain-galleria,"Since its establishment in 2017, Curtain Galleria’s dedicated team has served a wide range of satisfied clientele and built a strong customer base. Staying true to their brand promise, they have consistently maintained a 5-star rating, reflecting their unwavering commitment to excellence."
Eazea,Access and Locks,,False,False,hello@eazea.sg,88386667,https://eazea.sg/,https://www.facebook.com/eazea.sg/,https://www.instagram.com/eazea.sg/,,5970,eazea,https://findgroupbuy.com/brand/eazea,"Singapore No.1 Digital Lock Provider, Eazea. First Singaporean Conventional Digital Lock Brand with more than 5000 5* Reviews on Facebook and Google.  #Going Keyless is Eazea! #Make your life Eazea!"
The Table Guy,Furniture,yes,True,False,sam@tableguy.sg,84998989,https://tableguy.sg/,https://www.facebook.com/tableguysg,https://www.instagram.com/tableguysg/,,5970,tableguy,https://findgroupbuy.com/brand/tableguy,Fully customisable solid wood tables and furniture in Singapore. Durable furniture built to evolve with you.
Wells Singapore,Water Dispenser,yes,True,False,micolyee@wellssingapore.com,97945366,"Contact Wells via [color=rgb(0, 102, 204)][url=https://api.whatsapp.com/send?phone=6597945366][b][u]Whatsapp[/u][/b][/url][/color] for further enquiry",https://www.facebook.com/wellssingapore/,https://www.instagram.com/wellssingapore/,,5970,wells,https://findgroupbuy.com/brand/wells,"Wells, a distinguished Korean lifestyle brand founded in 2002, is dedicated to delivering top-quality home appliances. With all products meticulously designed and manufactured in Korea, Wells ensures exceptional craftsmanship and performance. Specializing in premium water dispensers and purifiers, Wells is committed to providing families with a reliable and continuous supply of clean, fresh drinking water."
ZUHNE - Premium Kitchen Sinks,Kitchen,yes,True,False,vinay@zuhne.com,80253585,https://zuhne.sg/,,,,5590,zuhne,https://findgroupbuy.com/brand/zuhne,"Zuhne is Forbes Top 10 kitchen sink brands from 2022 to 2024. Rated 9.8 of 10 on Amazon published Kitchen Sink Buying Guide – higher than ANY other brand. Over 10,000 5-star ratings on Amazon. Independently rated 'Best kitchen sink in the last few years'."
The Curtain Boutique,Home and Living,,True,False,marketing@tcb.com.sg,86888813,https://www.tcb.com.sg/,https://www.facebook.com/TheCurtainBoutique,https://www.instagram.com/thecurtainboutique/,,5970,the-curtain-boutique,https://findgroupbuy.com/brand/the-curtain-boutique,"A trusted leader in curtains and blinds for homes and businesses, The Curtain Boutique has over a decade of industry experience. Known for its commitment to quality and customer satisfaction, it garners thousands of 5-star reviews and is a proud pioneer of Ziptrak® in Singapore.  It has received prestigious accolades, including the Singapore Prestige Brand Award and the Excellent Service Award (EXSA), and maintains certifications from CaseTrust and BizSafe."
ShadeSpace,Home and Living,yes,True,False,marketing@shadespace.com.sg,86858847,www.shadespace.com.sg,https://www.facebook.com/shadespacesg,https://www.instagram.com/shadespacesg/,,5970,shadespace,https://findgroupbuy.com/brand/shadespace,"ShadeSpace has quickly ascended to the top as Singapore's leading window furnishers. Our highly skilled team of artisans take pride in transforming spaces with an array of sophisticated and functional window treatments.  Our unwavering commitment to excellence, innovation and customer satisfaction was recently recognized at the Singapore SME500 Awards and accredited with CaseTrust, affirming our commitment to innovation, superior quality, and customer satisfaction in every project we undertake."
Textures Crew,Services,,False,False,ben@bifco.biz,97349780,,,https://www.instagram.com/textures_crew/,,5970,textures-crew,https://findgroupbuy.com/brand/textures-crew,Textured Paint | Limewash | Stucco | Microcement | Venetian Plaster
Framier,Furniture,yes,False,False,kristalkj3@framier.sg,82628212,framier.sg,https://www.facebook.com/framiersingapore,instagram.com/framiersg,,5970,framier,https://findgroupbuy.com/brand/framier,At Framier we customize furniture to create a unique and aesthetic home for you. Our specialization is in bed frame customization.
Sol Luminaire™,Lighting and Fans,yes,True,False,marketing@solluminaire.com.sg,91062210,https://solluminaire.com.sg/,https://www.facebook.com/Solluminaire/,https://www.instagram.com/solluminaire?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,,5970,sol-luminaire,https://findgroupbuy.com/brand/sol-luminaire,"Sol Luminaire™ is a leading lighting company based in Singapore, known for its innovative approach to design. We offer AEON®, our exclusive range of creative lighting solutions for both homes and businesses in South East Asia. Our focus is on combining style, function, and advanced technology to create versatile lighting options. We use sustainable Chip-on-board (COB) LEDs in our Mini series, which features compact design, low glare, adjustable brightness, and flexible beam angles."
ErgoTune,Furniture,,False,True,ergotune.groupbuy@una-brands.com,80685970,https://ergotune.com/,https://www.facebook.com/ErgoTune/,https://www.instagram.com/ergotune.co/,,5970,ergotune,https://findgroupbuy.com/brand/ergotune,"ErgoTune Singapore provides high-performance ergonomic chairs and desks, focusing on tailored comfort and support to enhance well-being and productivity for both work and leisure."
Aqara SG,Smart Home,yes,True,False,info@homesmart.sg,88768104,https://homesmart.sg/contact/,,https://www.instagram.com/homesmart.sg/?hl=en,,5590,aqarasg,https://findgroupbuy.com/brand/aqarasg,"Integrate smart technologies into your home, and live better. Homesmart.sg uses the world’s top technologies to bring real convenience, accessibility, and security into Singapore homes. The smart homes of today are advanced yet affordable, powerful yet user-friendly, and Homesmart.sg can help create your smart home with simple, effective integrations."
SG DefectScan,Services,yes,True,False,sales@sgdefectscan.com,87766987,www.sgdefectscan.com,https://www.facebook.com/sgdefectscan/,https://www.instagram.com/sgdefectscan,,5970,sgdefectscan,https://findgroupbuy.com/brand/sgdefectscan,"SG DefectScan offers defects inspection for residential and commercial properties in Singapore. We are featured in Mediacorp’s CNA, The Straits Times and AsiaOne media releases.  Scope of Inspection covers architectural, electrical and plumbing items for workmanship, functionality and finishing issues in accordance to BCA guidelines; as well as providing Lifetime Warranty on all defects found in the unit."
Goodsleep,Bedroom,yes,True,True,marketing@goodsleep.sg,80685970,goodsleep.sg,https://www.facebook.com/GoodsleepSg,https://www.instagram.com/goodsleepsg/,,5970,,,"Goodsleep is a a brand that specialises in providing superior quality, customisable products without the need to break bank! We pursue 100% customer satisfaction through our meticulously designed products, made to cater to our customers needs and preferences."
GROHE Singapore,Bathroom,,False,False,grohe.sys@lixil.com,88762234,www.grohe.sg,https://www.facebook.com/grohesingapore,https://www.instagram.com/grohesingapore/,,5970,grohe,https://findgroupbuy.com/brand/grohe,"The German leading brand and design powerhouse of premium bath faucets and showers, kitchen mixers, thermostats and installations systems"
American Standard,Bathroom,,False,False,as.sys@lixil.com,88762234,https://www.americanstandard.com.sg/,https://www.facebook.com/AmericanStandardSG/,https://www.instagram.com/americanstandard_sg/,,5970,american-standard,https://findgroupbuy.com/brand/american-standard,"For 150 years, we’ve made it our mission to enable you to create a home you will love every day.  This page is dedicated to you: explore, learn & share!   Inspired by people, we design better bathrooms and kitchens around the world, delivering what you didn’t even know you needed, innovating in a way that’s inviting and intuitive.   With a relentless focus on making life simpler, we design products that fit seamlessly into your routine. They’re easy to use and built to last. Toilets, faucets, showers, bathtubs, and more, make a huge difference every day, in the background of life.  We want you to love where you live, no matter who or where you are."
INAX,Bathroom,,False,False,inax.sys@lixil.com,88762234,www.inax.com.sg,https://www.facebook.com/inax.sg/,https://www.instagram.com/inaxsingapore,,5970,inax,https://findgroupbuy.com/brand/inax,INAX is a Japanese brand that manufactures innovative sanitaryware and artistic ceramic tiles.
TWS Home,Lighting and Fans,yes,True,False,jasmine.leo@sinicpl.com,98794721,,,,,5970,sinic,https://findgroupbuy.com/brand/sinic,"TWS Home sells authentic Schneider Electric, OSRAM, Philips, Alpha, Bestar and FANCO products."
