name,category,address,phone,email,website,hours_raw,source_query,gmaps_url
Night Hawk,Cocktail bar,"43 Tg Pagar Rd, #01-02, Singapore 088464",+65 9666 0928,hello@nighthawkbar.sg,http://www.nighthawk.sg/,Tuesday5:30 pm–12 am | Wednesday5:30 pm–12 am | Thursday5:30 pm–12 am | Friday5:30 pm–1 am | Saturday5:30 pm–1 am | SundayClosed | Monday5:30 pm–12 am,bars Singapore,https://www.google.com/maps/place/Night+Hawk/data=!4m7!3m6!1s0x31da1920b9065469:0x83f8538286144b5e!8m2!3d1.2789557!4d103.8440049!16s%2Fg%2F11sz5b5tm1!19sChIJaVQGuSAZ2jERXksUhoJT-IM?authuser=0&hl=en&rclk=1
"Tess Bar & Kitchen, Singapore",Cocktail bar,"36 Seah St, Singapore 188392",+65 9826 7355,tess@tessbar.com,http://www.tessbar.com/,Tuesday 4 pm–1 am | Wednesday 4 pm–1 am | Thursday 4 pm–1 am | Friday 4 pm–3 am | Saturday 12 pm–3 am | Sunday 12 pm–1 am | Monday 4 pm–1 am | Tuesday4–7 pm | Wednesday4–7 pm | Thursday4–7 pm | Friday4–7 pm | Saturday12–7 pm | Sunday12–7 pm | Monday4–7 pm | Tuesday4–9 pm | Wednesday4–9 pm | Thursday4–9 pm | Friday4–9 pm | Saturday12–9 pm | Sunday12–9 pm | Monday4–9 pm,bars Singapore,"https://www.google.com/maps/place/Tess+Bar+%26+Kitchen,+Singapore/data=!4m7!3m6!1s0x31da19a5a0392567:0x248fe16111f0fd18!8m2!3d1.2959228!4d103.8549642!16s%2Fg%2F11b5yxmn9r!19sChIJZyU5oKUZ2jERGP3wEWHhjyQ?authuser=0&hl=en&rclk=1"
Origin Bar,Bar,"Lobby Level, Tower Wing, 22 Orange Grove Rd, 258350",+65 6213 4595,singapore@shangri-la.com,http://www.shangri-la.com/singapore/shangrila/dining/bars-lounges/origin-bar/origin-bar/?WT.mc_id=SLS_201810_GLOBAL_GOOGLEBUSINESS_PROFILE_WEBSITE_TEXTLINK_ORIGINBAR_BRANDWEB_EN,Tuesday5:30 pm–1 am | Wednesday5:30 pm–1 am | Thursday5:30 pm–1 am | Friday5:30 pm–1 am | Saturday5:30 pm–1 am | Sunday5:30 pm–1 am | Monday5:30 pm–1 am,bars Singapore,https://www.google.com/maps/place/Origin+Bar/data=!4m7!3m6!1s0x31da19f4703ca001:0x8d61d9bb106b1ea1!8m2!3d1.3109262!4d103.8267489!16s%2Fg%2F11f3m8j6b_!19sChIJAaA8cPQZ2jERoR5rELvZYY0?authuser=0&hl=en&rclk=1
28 HongKong Street,Cocktail bar,"28 Hongkong St, Singapore 059667",+65 8318 0328,Findus@28hks.com,https://www.28hks.com/,Tuesday 6 pm–1 am | Wednesday 6 pm–1 am | Thursday 6 pm–2 am | Friday 6 pm–2 am | Saturday 6 pm–2 am | Sunday 6 pm–1 am | Monday 6 pm–1 am | Tuesday6–11:30 pm | Wednesday6–11:30 pm | Thursday6 pm–12:30 am | Friday6 pm–12:30 am | Saturday6 pm–12:30 am | Sunday6–11:30 pm | Monday6–11:30 pm,bars Singapore,https://www.google.com/maps/place/28+HongKong+Street/data=!4m7!3m6!1s0x31da190aee6c5365:0x59bae3af2ea726d3!8m2!3d1.2875578!4d103.8469262!16s%2Fg%2F1ttp7tsn!19sChIJZVNs7goZ2jER0yanLq_julk?authuser=0&hl=en&rclk=1
Jigger & Pony,Bar,"165 Tg Pagar Rd, Amara Hotel, Singapore 088539",+65 9621 1074,info@jiggerandpony.com,http://jiggerandpony.com/,Tuesday 6 pm–12 am | Wednesday 6 pm–2 am | Thursday 6 pm–2 am | Friday 6 pm–2 am | Saturday 6 pm–2 am | Sunday 6 pm–12 am | Monday 6 pm–12 am | Tuesday6–7:30 pm | Wednesday6–7:30 pm | Thursday6–7:30 pm | Friday6–7:30 pm | Saturday6–7:30 pm | Sunday6–7:30 pm | Monday6–7:30 pm,bars Singapore,https://www.google.com/maps/place/Jigger+%26+Pony/data=!4m7!3m6!1s0x31da190d061da0df:0x41672a5a407459bc!8m2!3d1.275032!4d103.843551!16s%2Fg%2F1pp2tyt72!19sChIJ36AdBg0Z2jERvFl0QFoqZ0E?authuser=0&hl=en&rclk=1
The Other Room,Bar,"320 Orchard Rd, Marriott Tang Plaza Hotel, Singapore 238865",+65 8300 6085,reservations@theotherroom.com.sg,https://www.theotherroom.com.sg/,Tuesday6 pm–2 am | Wednesday6 pm–2 am | Thursday6 pm–2 am | Friday6 pm–3 am | Saturday6 pm–3 am | SundayClosed | Monday6 pm–2 am,bars Singapore,https://www.google.com/maps/place/The+Other+Room/data=!4m7!3m6!1s0x31da198d84a8766d:0x5a466a0965b64840!8m2!3d1.3053584!4d103.8328308!16s%2Fg%2F11c562btr8!19sChIJbXaohI0Z2jERQEi2ZQlqRlo?authuser=0&hl=en&rclk=1
Quaich Bar Wanderlust,Bar,"80 Middle Road, a, Luxury Collection Hotel, Frasers House, 188966",+65 9818 0885,wanderlust@whiskystore.com.sg,https://quaichbar.com.sg/,Tuesday5 pm–1 am | Wednesday5 pm–1 am | Thursday5 pm–1 am | Friday5 pm–2 am | Saturday5 pm–2 am | SundayClosed | Monday5 pm–1 am,bars Singapore,https://www.google.com/maps/place/Quaich+Bar+Wanderlust/data=!4m7!3m6!1s0x31da19b9960634c9:0x353a8c0b31327130!8m2!3d1.298314!4d103.8550497!16s%2Fg%2F11jyj5rg0c!19sChIJyTQGlrkZ2jERMHEyMQuMOjU?authuser=0&hl=en&rclk=1
Another Bar,Bar,"9 Bras Basah Rd, #02-03, Singapore 189559",+65 8857 5008,hello@another-bar.com,https://www.another-bar.com/,Tuesday6 pm–3 am | Wednesday6 pm–3 am | Thursday6 pm–3 am | Friday6 pm–3 am | Saturday8 pm–4 am | SundayClosed | MondayClosed,bars Singapore,https://www.google.com/maps/place/Another+Bar/data=!4m7!3m6!1s0x31da1934aacf802d:0xe4adbe4ae7e6168c!8m2!3d1.2986412!4d103.8491782!16s%2Fg%2F11vz9404p8!19sChIJLYDPqjQZ2jERjBbm50q-reQ?authuser=0&hl=en&rclk=1
Skinny's Lounge,Cocktail bar,"82, #01-02 Boat Quay, 049870",,info@drinkskinnys.com,http://drinkskinnys.com/,Tuesday7 pm–3 am | Wednesday7 pm–3 am | Thursday7 pm–3 am | Friday7 pm–4 am | Saturday7 pm–4 am | Sunday7 pm–3 am | MondayClosed,bars Singapore,https://www.google.com/maps/place/Skinny%27s+Lounge/data=!4m7!3m6!1s0x31da190a129e0dcd:0x2545037488cf1d4e!8m2!3d1.2885814!4d103.8491907!16s%2Fg%2F11cmzp7dj5!19sChIJzQ2eEgoZ2jERTh3PiHQDRSU?authuser=0&hl=en&rclk=1
Live Twice,Cocktail bar,"18-20 Bukit Pasoh Rd, Singapore 089834",+65 9011 8304,info@livetwice.sg,http://livetwice.sg/,Tuesday 6 pm–12 am | Wednesday 6 pm–1 am | Thursday 6 pm–1 am | Friday 6 pm–2 am | Saturday 6 pm–2 am | Sunday 6 pm–12 am | Monday 6 pm–12 am | Tuesday6–8 pm | Wednesday6–8 pm | Thursday6–8 pm | Friday6–8 pm | Saturday6–8 pm | Sunday6–8 pm | Monday6–8 pm,bars Singapore,https://www.google.com/maps/place/Live+Twice/data=!4m7!3m6!1s0x31da1938e5a0fc6d:0x52c65bb6818dc97b!8m2!3d1.2791155!4d103.8409436!16s%2Fg%2F11h7rp1mck!19sChIJbfyg5TgZ2jERe8mNgbZbxlI?authuser=0&hl=en&rclk=1
